content,sentiment
dapat tim ga jelas Mulu cok kau yang betul lah kasih tim monton mmk,negatif
Dark system,positif
Mantapppp,positif
Mantap,positif
"Monton tolong di perbaiki lagi dong masalah jaringan,gw mau masuk ke akun utama lewat akun monton masa ngga bisa malah bacaan nya masalah jaringan padahal jaringan gw bagus 😑udh si itu aja maaf nih gw kasi bintang satu soalnya akun gw udh ngga bisa masuk padahal udh gw coba berkali kali",negatif
Game gak sesuai matching nya. Bagaimana player mau bertahan di game ini. Obral skin jg sama aja kalo matching nya masih gak karuan,negatif
seimbaingin macthmaking,positif
Bgus,positif
game monyed,negatif
Tolong benerin tu sinyal ping ijo ngelag mulu,negatif
Kadang ngeselin tapi bagus,positif
Oke banyak draft sistemnya,positif
Di game ini aku kurang beruntung,negatif
Egk enak nie geme byk mkn data kurang drak sistem informasi,positif
Kalau bisa sering-sering berbagi sekinya dong monton biar player nya makin betah maenin game nya,positif
Game taek,negatif
Gamenya kurang responsif,positif
"Game ini seru tapi bnyk bocil""yang ga bisa maen ya bisa nyh cumn ngetrol dari pada maen game ini mnding pindah ke hok satu kata buat nonton klo mau kita ga lidah ke game sebelah kasih gua winstek sebesar 20k reza*689",negatif
Game terbaik di dunia,positif
tim ga seimbang dark sistem semua tolong ya montoon aduhh jadi gw mau ganti gem aj lah udh cape,negatif
Goodbjob,positif
Game rasis,negatif
Dark sistem parah di benahi kalau masih mau di minati banyak player!!!,negatif
Keren,positif
Buat Lo yg mm Kimmy goblokkkkk tololl Ga bisa main ga usah main tolol,negatif
okeh,positif
Game nya lumayan,positif
APALAH MONTON NGASIH TIM YG GG BANGET MAIN 5 JAM CUMA NAMBAH 2 BINTANG KAN ANEH LO MONTON INI GEM APA GIMANA COBA NIATNYA MAIN BUAT SERU²AN NYATANYA MALAH JADI SETENGAH GILA,negatif
Menakjubkan sudah dari kelas 6 SD main iniii,positif
Banyakin skin gratis,positif
Good,positif
Tolkon,positif
Match making sampah Nemu aja afk setiap solo kalau gak afk ya selalu buta saat war berlangsung,negatif
Burik,negatif
Ok,positif
Oke,positif
Kasih win streak min biar makin seru mainya,positif
Mantap,positif
Bagus,positif
Seruuu,positif
Gatau maless pengen beli truk,positif
Keren,positif
Seru banyak event skin gratis dan diamon,positif
Wow,positif
Sangan indah,positif
Lu anak dajjal moonton,negatif
Saya menyukai nya,positif
gausah main game kaya gini lagi moonton tidak adil tim kita feeder semua tim lawan kaya onic sumpah moonton tidak adil sekali apa lagi kalo ketemu dark system bikin membuat kerugian kepada org lain 🙏🙏,negatif
Mantul,positif
"moonton,gmnh ini masa setiap ganti akun download data ulang?, padahal ga make script/konfik??",negatif
Game nya bagus saya hampir bunuh diri,positif
Game yang sangat menghibur,positif
"jaringan suka ngebug kalau lagi war, selalu ngasih tim bott, terus cuman dksih menang sekali lepastu dksih tim ga betul, rusak kali game ini, jeeleek",negatif
game bikin stres,negatif
Player tollol,negatif
"sering dapat tim dark system apalagi habis pergantian season, musuh selalu dapat rank asli nya sendiri, sedangkan di tim sendiri dapat emang rank bawahan bahkan baru naik epic",negatif
Sangat bagus,positif
"Sistem nya moonton kurang bagus selalu ketemu dark sistem,lawan gak sebanding dengan rank kita(lawan lebih tinggi),selalu stuck bintang di epic 3,tolong dong dibenerin jangan rusak kaya gini,jadi biar player MLBB jadi gak bosen dengan sistem yang bagus,tapi ini apa masa selalu ketemu lawan yang gak seimbang jadi aku akui game rusak ini,mohon diperbaiki lagi ,biar pada betah player""MLBB kalau game MLBB mau tetap bersinar Sekian dan terimakasih",negatif
Ramah,positif
Good game,positif
Tolong dong moonton kasih tim yang seimbang cape ni di trol di kasih bot bot,negatif
Sistem matchmaking hancuuurr,negatif
Game favorit dari dulu,positif
Jangn dowanload ke banyakan drak sistem,positif
Bole la,positif
Mantap sekali game ini,positif
Kalo kasih musuh yg seimbang lah,positif
game nya bagus,positif
"game apa ini, dapat tim kaya bot, sedangkan musuh macam pro player, mendingan nggak ush download gane ini bikin stress ajh pemainnya",negatif
Apa game gini kawan GX sesuai lemah lah musuh kuat kuat monton cerewet kasik menang udah menang kalah malahan banyak kalahnya dari pada menang tolonglah perbaiki dikit ml ni,negatif
Game yang sangat bagus jika terus berbagi skin epic gratis,positif
Game babi,negatif
Gacor,positif
Pagi tadi enak3 aja maen nya eh setelah di update malah eror gx bisa masuk kecewa,negatif
Game yang bagus buat nambah stress,positif
"banyak bug nya,ini game online tpi playernya offline semua gk worth it👎",negatif
Banyak event gratis thanks monton,positif
Game moba paling bagus,positif
baik,positif
Tek lah mL suka ngelak sinyal hilang,negatif
Game bagus tapi tolong berantas cheat dan sistem dark sistem aneh banget ketemu temen bot tapi musuh gg semua mana bisa menang,positif
Oke,positif
Game paling mantul bangeett.. Msh tetap jadi pilihan,positif
Banyak buang waktu,negatif
Bgs Mantap,positif
"Game tolol bikin lupa waktu,gila dapat dark sistem terus ,tim ngetroll terussssss di epikk mending ga usah dimainin ni game kalo lu g mau stres Ama lupa waktu,menguninstall game ini adalah pilihan terbaik agar tidak kecanduan dan bikin banting hp",negatif
Good job keren,positif
Game yang sangat bagus,positif
Game bagus dan seruh,positif
sangat bagus,positif
Good,positif
Kenapa sekarang bayak bot ya sih moonton match matting buruk ngapain sih ada bot di rank,negatif
lag,negatif
Terimakasih montoon DM nya,positif
Bagus,positif
seru terkadang pemilihan tim yang tidak seimbang,negatif
"Benerin draft pick nya woulah, gw cape ketemu duo dongok mulu tau ga, pengertian dikit sama mental pemain nya lah, anda berfokus bagi' skin tapi tidak dengan pembagian team yang jelas dan seimbang. Sekali lagi saya berharap terhdp pihak mobile legends cepat-cepat benerkan draft pick nya, soalnya saya bermain dari pagi hingga sore itu bintang malah tetep sama gitu. Tolong lah yaa🫸🫷",negatif
"makin gk jelas match macking nya... menang 1x langsung di kasi tim ampas trs, percuma mvp klo kalah..!!!",positif
keren,positif
Mayar boss,positif
game nya bagus banget,positif
Nice,positif
Di Mel bot semua udah parah jadi game' offline aja,negatif
Seru,positif
love,positif
mantab,positif
Mantap,positif
Keren,positif
"game rusak moonton tolol, dark sistem",negatif
𝑆𝑎𝑛𝑔𝑎𝑡 𝑚𝑒𝑛𝑔ℎ𝑖𝑏𝑢𝑟 𝑠𝑢𝑘𝑠𝑒𝑠 𝑠𝑙𝑎𝑙𝑢,positif
gw gak terima sun gw jadi gitu,negatif
Moonton tolong kurangi dark sistemnya,positif
Woi ngen**lu kasih dark sistem mulu kegua emang ada masalah apa lu ke gw ngen***,negatif
"Game nya mantap parah si, tapi klo game nya di hapus kenapa pas dowload ulang aku ku masih sama bejir niatnya si mau berubah eh akunya malah itu aja",positif
"malah gajelas game ini dpt musuh ga sepandan, ga seimbang, mohon di perbaiki lagi sistem nya, game gajelas sistem sampah",negatif
Magic chees kurang beres kalo update pebaiki dulu,negatif
jos,positif
Cobalah monton ram aplikasi nya ringannin sikit soalnya hp saya hp kentang pliss ngertiin saya udah hapus banyak foto masih aja ga bisa gimana foto saya pada hilang mau di balikin ga bisa sial banget tapi ga naik naik angka download untuk main tapi masih aja sama lama lama saya uninstal game mobile legend malah pindah ke honor of king pliss ngertiin deh mon ya allah trus dark sistem nya kurangin saya cape main gini trus mana abis reset season gimana tolong ya developer Mlbb indonesia semangat !!,positif
Bagus,positif
Guuud,positif
Permainan mantap,positif
👍👍,positif
Mending download hok deh lebih seru daripada nih.ngasih tim gk seimbang mulu bikin orang emosi🤬,negatif
Bagus,positif
Tolong kasih team yg seimbang dengan lawan,positif
Monnton bang5at coba kasi tim yg seimbang jangan sistem busukmu merugikan plyaer memang assu kau monnton,positif
Game ful ls,negatif
Blaklist nik name (bawik) dark sistem parah,negatif
Sekarang sinyal nya suka buruk tiba tiba leg padahal sinyal bagus,positif
monton gmna ini misi calback gw udh 91% gk bisa smpai ke 100% penyebab ny batas tercapai lu niat ngasih skin gk seh,negatif
Sayang nya di pereng sistem mulu futri,positif
Moonton k*nt*l,negatif
Menemani di waktu luang,positif
"woi ppek , hp ko dk sanggup tron ken device e",negatif
Kasih tim yang bener dikit Matchmaking belom bener sok sok an rilis skin baru,negatif
Monton parah setelah bagi bagi skin gratis main di persulit kadang baru masuk di kasih lawan gk imbang 1 kali menang 4kli kalah,negatif
Rasa ngeleg,negatif
Sangat menarik di setiap evennya,positif
"pemilihan tim gajelas, org baru main yg di pilih sedangkan musuh udh sekelas player esport hdehh montoon montoon aneh",negatif
Game tolol bikin stress,negatif
Mantapp,positif
bisa kah diperkecil lagi penyimpanan nya kasian hp² kentang pada ngelag,negatif
Bagus,positif
Mantapp,positif
puas,positif
mantap,positif
Saya sangat terkejut dengan apddet terbaru ini hp saya menjadi lebih pro dan lancar dan moobton anak baik gg kasih tim tolol semuanya sampek saya stres stadium akhir,positif
Kenapa sekarang jaringan nya mlah gak setabil......dulu setabil Lo 😡 Semakin kesini semakin sinyal gak setabil.....,negatif
game nya bagus,positif
Good game,positif
Banyak bocil,positif
Mulai baik dev nya,positif
Ngasih musuh yang ngotak moonton kena lock terus ls terus ml game gaje jing sampe frustasi w main ml stres gara2 maen ni game,negatif
Game terlalu bagus,positif
Game ini aku selalu di kasih dark sistem aku sampai kembali ke epik 5 padahal aku dulu nya epik 3,negatif
gem ini senang',positif
Good,positif
"Bagus banget keren, Jujur saja saya sangat kecewa karna setiap main selalu sendat Mulu di jaringan padahal jaringan bagus, juga kadang saat masuk game nya ngk bisa bergerak karna sinyal, dan harus restad ulang game nya, juga makin kesini setiap main selalu saja sinyal buruk padahal sinyal selalu bagus, ayo tingkatan lah sinyal nya biar main ngk ngeleq mulu",positif
kasih tim yg logis tolong tidak setara dengan musuh,negatif
"Tolong nerf commander abe di megic chest, kalau tidak di nerf maka saya kecewa dengan moonton",negatif
Udah ketahuan disetting nya ini game untung gua gak pernah top up ini game rugi banget..,negatif
"Personal bat tim dark sistem, ketemu lawan sekelas lutpi",positif
Game nya bikin marah mlas ah mainya draksistem Mulu,negatif
bagus,positif
Coba dulu ni tak kasih 3 bintang dulu,negatif
Lag parah saat match making ...woy moonton,negatif
game dajjal dpt temen bot mulu,negatif
Guud,positif
Gaje sinyal suka ilang sendiri,negatif
Patent mlbb,positif
"update terbaru bikin smartphone cepat panas sudah di coba di dua smartphone dengan chip snapdragon 845 bisa mencapai 45°c sebelum update hanya mentok 40°c ku harap ini bisa di perbaiki dikarenakan sangat mengganggu gameplay, grafis bawaan game adalah tinggi dan frame rate tinggi. Game sangat buruk pada cs bot silvanna saya ingin mereport player yang melakukan feeding dengan sengaja tetapi dianggap tidak melanggar peraturan, saya harap ini segera di fix dan ganti bot menjadi manusia asli.",negatif
good game,positif
so far so good,positif
Agak males main ml liat mpl gak jelas,negatif
TOLONG DIPERBAIKI SERVER JARINGAN MU MOONTOL,negatif
Sangat bagus game ini,positif
"Kami sayang monton,monton sayang kami",positif
Game penghilang stres,positif
waw,positif
Lag Bug dan stuck,negatif
Bagus,positif
Game seru sayang bikin hp kena lcd+toksik meningkat+gampang darah tinggi,positif
Tolong perbaiki sistem matchmaking,negatif
GG gamenya,positif
The best,positif
Kerenn,positif
"Game tolol ngasi tim dark sistem, game ga jelas game dark sistem kebanyakan.",positif
Mantap,positif
HOK MOBA terbaik,negatif
selagi rank win terus kenak hack di kasih tim bot.dan jaringan leg,negatif
"Mau gimana pun alasan ga bisa diberikan sebelum mencoba,intinya game ini lebih dari sekedar game.",positif
Mantap,positif
Game tololl bikin stres sakit mata,negatif
Gem aneh setiap main mode Reng pasti dikasih temen bot game aneh menghubungkan ke server trus,negatif
Main lawannya selalu dikasi yang keras giliran kawannya selalu dark sistem game apa ini gk usah di download ngabisin waktu buat push rank malah lose streak dapat kawan yang gk bener,negatif
Seru game nya,positif
Terima kasih montonn,positif
sangat menarik,positif
"bagus, sekarang udah bisa offline mainnya",positif
Iya,positif
"Ini game sumpah kek bangsad banget, gak adil banget lagi, masa tim musuh bagus bagus tapi kalo tim sendiri jelek jelek semua, dan juga terkadang main menang satu kali entar kalah , kalo gitu sama aja gk, jadi emosi di bikin nya, jadi tolong monton yang bangsad tolong di perbaiki dan juga di pertimbangkan 😒",negatif
Memuaskan hasrat,positif
sejauh ini bagus sih,positif
bagus,positif
mantap,positif
sangat bagus Dn menyenag kan,negatif
Nicee,positif
"Hero minsittar coldown ultinya lama sekali,dibandingkan alpha ,alpha udh ULTI 2 x minsittar baru 1 x itu pun msh coldown 35 detik setelah alpha ULTI ke 2 ,,,udh Hero lategame pula haduuuh,,,banyak dark sistemnya lagi",negatif
sangat bagus sekali,positif
"Semuanya sekarang udah bagus tapi ada satu masalah Sama seperti yg lain nya masalah jaringan,,knp jaringan nya bagus tapi tetap nge lag padahal sebelum riset season aman² aja jaringan nya tetap normal tapi setelah riset season dan update jadi sering nge lag main rank ngelag,main magic chase ngelag, main classic ngelag,main brawl juga ngelag sampai main vs ai juga ngelag untuk sekarang perbaiki masalah jaringan nya udah itu aja🙏",positif
Game mantap,positif
Mehh,negatif
Kenapa pas awal saya mau login ke gem nya ga bisa eror katanya,negatif
Tolong lah kalo main tuh di kasih musuh yg imbang,negatif
Oke,positif
Mantap boss,positif
"Maksud lu apa ton, pas main sinyal jelek, pas mati sinyal bagus, mau ngetes kesabaran orang apa?",negatif
Moonton gila giliran dh nyampe perbatasan di kasih tim gawaras musuh nya di kasih keras setresss game ini :) setresss jadi tolongg pembagian tim yg seimbang apalah moonton nih game rusak ga adil aneh puqimak full loce history gw,negatif
mantap,positif
"Gajelas bgt si, mau ganti akun doang eror² mulu",negatif
Moonton kasih tim yang bnr,negatif
Ini game sangat bagus Dan bisa menyenangkan,positif
Mantap,positif
Keren,positif
Minta perhatian nya moonton Bagi diamond dong buat player sejati mobile legends ini...,positif
1 ae koyo asu pki koyo kontol jembut bawuuukkkk asuuuuu....koyo itil pki asuuuuu...ml kontol asuuu pkiii...hapusssss ae asuuuu..admin assyuuuuuu,negatif
Mantap,positif
Sepeng,positif
Game kikir tidak hanya kikir di efek skill tapi kikir bintang,negatif
Karena saya tidak pernah menang,negatif
Nyebelin,positif
Game mantap,positif
Dasar game sampah kalah terus main ml lostrek 9 kali di ranked asu,negatif
"Nice interface, tapi gw mulai kangen old interface😒",positif
Buat sistem mu kacau. Baru dia kali menang dah kau jumpa kan sama teman yg ngk jelas. Bagus main HOK (Honor of king),negatif
Grafik nya HD banget,positif
"monton asu, masak jaringan nya sering jamping"" padahal buat nonton video tik tok lancar buat main game biadab berat banget, MONTON ASU",positif
Game goblog ngasih team ga ngotak anjim,positif
sangat seru,positif
Keren,positif
Game nya bagus banget dan ada skin permanen gratis lohh,positif
Bagus,positif
Pada sok asik,positif
Menyenangkan... Tapi kadang buat emosi...,positif
draksystm,positif
Terlalu banyak draksistem nya,positif
Sangat baik skali,positif
Mantap,positif
Semakin banyak skinnm,positif
Perbaikin draf team dong dapet nya bocil muku-_-,negatif
Ini game seru banget sampe ketagihan,positif
Game bagus gua udah lama maen ini game tapi kagak ada bosen nya,positif
Aku mulai males sama ml selalu ngasih aku tim trol dan lawan kuat tidak sebanding.... Mudah mudahn mobile legen di hapus dari dunia permainan bikin orang setres,positif
Good,positif
Joosss mantap,positif
Congrats,positif
Mantap gw Ws terus,positif
Game enak di mainin cuma kadang dapet tim dark sistem,positif
developer yatim,negatif
Mantap geme nya mkasih Monton,positif
Mengisi waktu kosong,positif
"Oi ton lu kalau ngasih tim tuh yg bener lawan juga seimbang jangan kasih tim burik,lawan jago,game apaan dh ini",positif
Mantap,negatif
Puas banyak dark syistem,positif
game darksistem,positif
game terbaik sepanjang masa menurut gua,positif
"Game yang buruk dalam pencocokan pemain, tidak pernah seimbang dan selalu berebut role dalam pemilihan hero. Bahkan gamplay dari tim acak yang sangat buruk serta pencocokan rank yang tidak jelas sehingga selalu tidak seombang antara tim sendiri dan tim musuh",negatif
Ok mantap,positif
Sangat bgusss,positif
Game GAJE,negatif
Nice moba game,positif
Eventnya dikurangin perbaiki sistem matchmaking buat solo player kasian dapet tim tidak sesuai role dan rank Pasti lu dpt kritikan gini udh banyak yang ngerasain dipikir lagi klo mau update mending update matchmaking atau event #montodkontol,negatif
kerenn,positif
"GAME GA GUNA SISTEM AMPAS, AKUN GUA UDAH HABIS BANYAK UANG MALAH KENA PENGAMAN AKUN KONTAK GM, GAME SAMPAH CUIHH",negatif
Saya sangat menyukai game ini,positif
Saya kasih bintang 5 dengan berat hati dan kecewa.kelihatan jelas klo sistem MLBB MENCURANGI DALAM PERTEMPURAN SAYA DI MAGIC CHESS.TERIMA KASIH SUDAH BIKIN SAKIT HATI,positif
untuk gamenya sih lumayan tapi jaringan nya nauzubillah merah Mulu capek jadinya,negatif
mantap,positif
Drk sistem mulu,negatif
Lagi seneng aja,positif
Ok,negatif
Bagus,positif
Baik sekali,positif
Anak babi monton bgst game gx berkelas,negatif
"Hii moonton, i am solo player. why am I often found with angry people?",positif
Mudahan mudahan di kasi musuh ngtrol trus wkwk,positif
Woi monton tolong lah aku mau mitik honor tapi malah turun dapat tim yang jelek tolong ya di benerin tolol Ga di main,negatif
Games nya bikin heppy,positif
bagus,positif
sangat senang di lawankan dengan pengguna level tinggi sedangkan tim level rendah jadi kalah kehilangan bintang puas dengan kekekalahan,positif
Gem ini sangat tolol sekali,negatif
Permainan nan nya bagus tapi tolong buat moontod kasih tim nya yang seimbang lah jangan yang noob noob parah tolong,positif
game taii jaringan ijo padaahal lag anjinggg asuuu jaringan stag di ijo tpi main lag parah anjingg,negatif
Game kok bikin emosin hiburan apa gimana,negatif
Sangatemuaskan,positif
Gua gak bisa sikasik tim tolol muluk lostrek 18 kalai cok gak menang menang,negatif
kasih tim yg jelas,negatif
Monton babi anjg,negatif
Lu kasih tim yang adil anjiiiiiiinh moonton tellacomu,negatif
Game nya seru,positif
mantap,negatif
Sering error,positif
Banyak dark sistem nya,negatif
Bagusss,positif
bagus,negatif
Game ini tidak bagus satu Hero bisa menghabisi Hero tim player. bilang main jujur dan adil.tidak ada bagus nya Bikin buang waktu .di kasih tim yang bodoh dan di kasih player kalah terus menerus.ya akhirnya saya hapus game ini dari hp saya.😡,negatif
apk nya udah bagus tapi ko aku ga pernah menang sih kalah mulu mainnya😔,negatif
Minimal kasih tim bagus montod,negatif
Buset sumpah gem nya bagus dan gak bikin hp patah patah pahan hp gw siyomei hp kentang tapi gak patah patah,positif
"𝑪𝒖𝒌𝒖𝒑 𝒑𝒖𝒂𝒔 𝒅𝒈𝒏 𝒈𝒂𝒎𝒆 𝒏𝒚𝒂 𝒅𝒊 𝒔𝒂𝒂𝒕"" 𝒋𝒆𝒏𝒖𝒉",positif
game rusak isinya dark sisitem semua mending main ff,negatif
Game ytta,negatif
Tolong moonton hilangkan DARK SISTEM,negatif
"game sampah, sistem draft tidak jelas mending pindah ke HOK",negatif
Monton emang kos mantap,positif
Game burik,negatif
Keren,positif
🫠🫠🫠,positif
Mantap,positif
lu niat nggak bikin game sangat² gak pandai bikin game dasar tua Bangka tambah umur tambah bodoh banyak banget bot tutup aja monton report player lain kagak bisa tlol,negatif
Sekarang malah nambah buruk buat maen untuk sinyal nya.padahal buat YouTube tik tok lancar jaya,negatif
Keren,positif
Ok,positif
Bagus saya main dr 2018,negatif
SUKAK MULAH MONTON ANJJING GAME CACAT,negatif
"Kasih tim yg bnr tlol,",positif
Mntap!!,positif
game bagus,positif
top,positif
Pea muntun,negatif
game yg tidak perlu di mainkan tidak ada gunanya ada game seperti ini karna saya dan kwn saya mengalami lostreak berlebihan mohon di kurangi dark sistem/bocil yg mengangu permainan saya paham!.,negatif
"moonton gimana sih, season skrng ga kaya yg dlu gampang naik bintang skrng naik turun naik turun... performance main pdhl udh bagus knp masih aja yg menang lawan susah bgt naikin bintang",negatif
Bagus,positif
Game terbaik,positif
Aku sebentar lagi akan pensiun main ml Soalnya jaringan lag setiap pake wifi atau kaota makanya aku ingin pensiun Aku akan bermain honor of Kings Waktuku tinggal 5 HR lagi Terima kasih mlbb kau telah menghibur ku ini kesempatanku untuk main honor of king maaf ini permintaanku karena aku akan pensiun.makasih ya mlbb mas monton 😇😭♥️ Semoga tahun depan mlbb bisa diperbaiki lagi,negatif
Keren,positif
Mantap,positif
"Ml sakit,selalu dpat drack sistem,game ini buat tenang,malah buat makin stress,game gc ada akal",negatif
Apalah sistem gelap malas main mending....☠️,negatif
Bagus game ini 🥰🥰,positif
Gua begadang tiap hari lu cuma naik turun ranked seseorang buat apa lu ciptain ini game game kikir,negatif
"Monton monton lu kasih dark sistem Mulu ke gua,EMG se GG itu ya gua🤣",negatif
Oke ni game,positif
Sangat baik,positif
Monton Kirik Ketemu DrakSystem semua,negatif
keren,positif
I feel happy playing this game the downside is it's toxic,positif
"Masalah di advance server,kasih Tim pertandingan yang jelas,percuma update trus kalo cari pertandingan ketemu tim Dark sistem trus",negatif
"Jaringan gw ngelag mulu moonton pas match,habis match bagus lagi, mending main hok match nya adil.",negatif
"Game nya bagus,suka ngasih skin",positif
Game terbaik sepanjang masa,positif
Moonton gak jelas ngasih tim draksisitem mullu kocak,negatif
Bagus,positif
Game yangg merarik,positif
good,positif
Ok,positif
moonton niat ngasih emot gratis gasi udah kelarin misi like vidio tiktok masih gadapet?,negatif
"Game gak jelas bener turnamen nya asik tp game nya kek sampah, update patch berulang kali tp matchmaking tim nya sampah banget, main solo aja kek tekanan banget tim gak jls ga bisa main semua, trs tim musuhnya malah enak semua gak adil banget. Saran benerin matchmaking nya, player bocil sama ga bisa main ga usah di satuin sama player yg niat buat main menang",negatif
Mantaap.....,positif
Banyak troll,negatif
ada in kagura kak gem skin dong,positif
"Tolong di simulasi untuk player yg berskill dibawah rata rata (CACAT!!!!!) mohon sekali player yg terkategori tersebut di ban aja sekalian,biar ga buat darah naik,tolong sesekali di patroli,yg skill nya cacat tuh dibuang lah,itu sama aja kayak virus yg menganggu kenyamanan bermain,capek moonton,lu tau ga,gw sehari maen tuh kek cuma 45% menang nya Karna org berskill cacat berada di tim gw",negatif
jos gamenya seru,positif
Bagus,positif
"game yang keren saya suka ,tapi ada sedikit masalh saat di dalm pertandingan ping sering naik turun , mohon di tindak lanjuti ,terimakasih",positif
Keren,positif
Tim Nya Dark sistem bikin orang Depresi,negatif
Mantap,positif
Nice,positif
"Makasih moonton,semoga hari""ku bahagia yaa,semoga mobile legends kedepannya makin sukses,makin rame,pokok sukses terus buat mobile legends bang bang,thanks you min 🥰😇",positif
"Sekalian aja lostreak 100 apa seribu, kasih dark sistem yang main babi.",negatif
ml itu keren,positif
Game nya seru moonton,positif
"Mantapp lah.. Game ini gw mainkan dari seasons 1 sampe sekarang, semakin kesini grafik dan heronya makin bervariasi, pokoknya mantap deh buat moonton. Jaya terus yah.. Amin",positif
Ya udah,positif
Bagus tapi banyak kurang di seimbangin role hero power sama player² lu yang g**lk di kurangin cape gw gendong terus setiap maen🐶,positif
gak bagus gamenya rusak parah dimainin ajagelek bet susah padahal pakai waivai ni gimana game tolong diperbaiki lebih baik lagi!!,negatif
Gini amat masak pake paketan buat nonton streaming cepat kalo main nih game ping merah terus,negatif
menyenangkan untuk mengisi waktu luang,positif
Gamenya Bagus,positif
walaupun stuklodding Mulu tapi takpaa,positif
"Just a little tolerance for cellphones that don't render, Be stingy, at least make the GB smaller, Damn game",negatif
Kasih akun saya ke hoki an saat gacha skin min,positif
Ini game moba terbaik di dunia,positif
Ml main lagi,positif
Mantap,positif
Kebanyakan DARK SISTEM...,negatif
"sistemnya ngelag tiba tiba ,pdhal jaringan bagus perbaiki lagi dari pada pemainnya pindah HOK",negatif
Bukannya bikin seneng malah bikin frustasi ni game,negatif
